time,pressure,mean,ratio,start_blow,stop_blow,blowing
704.2,46.46938689564083,46.56104938978678,-0.0886600000000044,False,False,True
704.3000000000001,46.53916246218617,46.60402716873611,-0.0627400000000051,False,False,True
704.4,46.63092834285834,46.63463991914961,-0.0035900000000026,False,False,True
704.5,46.722063565720575,46.65613397795058,0.0637700000000052,False,False,True
704.6,46.79288333618073,46.67058741431603,0.1182899999999946,False,False,True
704.7,46.83057806364026,46.679199511950095,0.1464199999999991,False,False,True
704.8000000000001,46.83843543963291,46.682983458809716,0.1503599999999991,False,False,True
704.9,46.82118022840693,46.68267329923106,0.1339699999999979,False,False,True
705.0,46.77652758773285,46.678475806266555,0.0948399999999978,False,False,True
705.1,46.7052839325152,46.67048402778981,0.0336600000000046,False,False,True
705.2,46.60482324498799,46.65837746556954,-0.0518,False,False,True
705.3000000000001,46.47113412793394,46.64113259299617,-0.1644299999999958,False,False,True
705.4,46.29190324608032,46.6169504845135,-0.3143999999999991,False,False,True
705.5,46.01349366962461,46.58139585814672,-0.5493000000000023,False,False,True
705.6,45.57968380560881,46.52716962514475,-0.9164500000000046,False,False,True
705.7,44.999168460887965,46.447293194987786,-1.400689999999997,False,False,True
705.8000000000001,44.318812747797224,46.33695909420664,-1.9520399999999969,False,False,True
705.9,43.58188392755933,46.19276590608872,-2.525359999999999,False,True,False
706.0,42.825084216982106,46.0123564178362,-3.08287,False,True,False
706.1,42.07815791965882,45.794552023050194,-3.594659999999997,False,True,False
706.2,41.35915632306734,45.53904256215204,-4.042969999999997,False,True,False
706.3000000000001,40.68121985469013,45.24614853337303,-4.415399999999998,False,True,False
706.4,40.059484301965675,44.91757581439576,-4.69896,False,True,False
706.5,39.50191042741286,44.556570742143535,-4.889090000000003,False,True,False
706.6,39.00952175764127,44.16739284149657,-4.98892,False,True,False
706.7,38.58218389016679,43.75497364975553,-5.003350000000005,False,True,False
706.8000000000001,38.21746724162329,43.32392420598978,-4.939190000000004,False,True,False
706.9,37.910491967973215,42.87839030990073,-4.805170000000004,False,True,False
707.0,37.655561471621894,42.42234200409518,-4.6106399999999965,False,True,False
707.1,37.44888146705708,41.95952188082227,-4.36289,False,True,False
707.2,37.28731934253432,41.4936518550259,-4.068550000000002,False,True,False
